Team,Nickname,Pick_Order,Player,NHL_Team,Position,Reg_Season_Stats
DeepSeek,The Underdog Alchemist,7,Juraj Slafkovsky,MTL,F,26G 38A 64P
DeepSeek,The Underdog Alchemist,8,Joel Eriksson Ek,MIN,F,24G 28A 52P
DeepSeek,The Underdog Alchemist,9,Josh Doan,BUF,F,22G 28A 50P
DeepSeek,The Underdog Alchemist,10,Oliver Kapanen,MTL,F,16G 22A 38P
Llama 4,Puck Prophet,1,Kirill Kaprizov,MIN,F,45G 44A 89P
Llama 4,Puck Prophet,2,Tim Stutzle,OTT,F,30G 52A 82P
Llama 4,Puck Prophet,3,Frederik Andersen,CAR,G,30W .917SV%
Llama 4,Puck Prophet,4,Pavel Dorofeyev,VEG,F,37G 28A 65P
Llama 4,Puck Prophet,5,Jake Sanderson,OTT,D,8G 40A 48P
Llama 4,Puck Prophet,6,Pavel Zacha,BOS,F,24G 32A 56P
Llama 4,Puck Prophet,7,Tomas Hertl,VEG,F,20G 28A 48P
Llama 4,Puck Prophet,8,Brandt Clarke,LAK,D,10G 36A 46P
Llama 4,Puck Prophet,9,Troy Terry,ANA,F,26G 32A 58P
Llama 4,Puck Prophet,10,Mason McTavish,ANA,F,22G 28A 50P
Mistral,Le Magicien,1,David Pastrnak,BOS,F,36G 62A 98P
Mistral,Le Magicien,2,Martin Necas,COL,F,35G 65A 100P
Mistral,Le Magicien,3,Adrian Kempe,LAK,F,32G 36A 68P
Mistral,Le Magicien,4,Charlie McAvoy,BOS,D,10G 44A 54P
Mistral,Le Magicien,5,Mikhail Sergachev,UTA,D,10G 38A 48P
Mistral,Le Magicien,6,Filip Gustavsson,MIN,G,30W .914SV%
Mistral,Le Magicien,7,Quinton Byfield,LAK,F,26G 32A 58P
Mistral,Le Magicien,8,Kevin Fiala,LAK,F,24G 34A 58P
Mistral,Le Magicien,9,Anze Kopitar,LAK,F,16G 38A 54P
Mistral,Le Magicien,10,Trevor Zegras,PHI,F,22G 32A 54P
Qwen,The MoE Maven,1,Wyatt Johnston,DAL,F,45G 38A 83P
Qwen,The MoE Maven,2,Rasmus Dahlin,BUF,D,10G 55A 65P
Qwen,The MoE Maven,3,Matt Duchene,DAL,F,26G 36A 62P
Qwen,The MoE Maven,4,Shayne Gostisbehere,CAR,D,12G 40A 52P
Qwen,The MoE Maven,5,Nikolaj Ehlers,CAR,F,30G 28A 58P
Qwen,The MoE Maven,6,Roope Hintz,DAL,F,24G 30A 54P
Qwen,The MoE Maven,7,Taylor Hall,CAR,F,18G 28A 46P
Qwen,The MoE Maven,8,Tristan Jarry,EDM,G,26W .908SV%
Qwen,The MoE Maven,9,Elias Lindholm,BOS,F,20G 30A 50P
Qwen,The MoE Maven,10,Rickard Rakell,PIT,F,24G 28A 52P
Perplexity,Corsi Conjurer,1,Cale Makar,COL,D,18G 63A 81P
Perplexity,Corsi Conjurer,2,Tage Thompson,BUF,F,38G 42A 80P
Perplexity,Corsi Conjurer,3,Brandon Hagel,TBL,F,28G 42A 70P
Perplexity,Corsi Conjurer,4,Ukko-Pekka Luukkonen,BUF,G,34W .915SV%
Perplexity,Corsi Conjurer,5,Alex Tuch,BUF,F,30G 32A 62P
Perplexity,Corsi Conjurer,6,Bowen Byram,BUF,D,8G 26A 34P
Perplexity,Corsi Conjurer,7,Jack Quinn,BUF,F,24G 22A 46P
Perplexity,Corsi Conjurer,8,Gabriel Landeskog,COL,F,18G 24A 42P
Perplexity,Corsi Conjurer,9,Zach Benson,BUF,F,16G 28A 44P
Perplexity,Corsi Conjurer,10,Jason Zucker,BUF,F,20G 18A 38P
Hermes,The Quantum Chirper,1,Jason Robertson,DAL,F,45G 51A 96P
Hermes,The Quantum Chirper,2,Sebastian Aho,CAR,F,27G 53A 80P
Hermes,The Quantum Chirper,3,Brady Tkachuk,OTT,F,32G 36A 68P
Hermes,The Quantum Chirper,4,Scott Wedgewood,COL,G,32W .921SV%
Hermes,The Quantum Chirper,5,Devon Toews,COL,D,10G 35A 45P
Hermes,The Quantum Chirper,6,Thomas Chabot,OTT,D,10G 36A 46P
Hermes,The Quantum Chirper,7,Evgeni Malkin,PIT,F,22G 38A 60P
Hermes,The Quantum Chirper,8,Bryan Rust,PIT,F,26G 30A 56P
Hermes,The Quantum Chirper,9,Mats Zuccarello,MIN,F,14G 42A 56P
Hermes,The Quantum Chirper,10,Vladimir Tarasenko,MIN,F,20G 26A 46P
Cohere,Frosty Fate Whisperer,1,Andrei Vasilevskiy,TBL,G,39W .916SV%
Cohere,Frosty Fate Whisperer,2,Miro Heiskanen,DAL,D,14G 48A 62P
Cohere,Frosty Fate Whisperer,3,Clayton Keller,UTA,F,32G 50A 82P
Cohere,Frosty Fate Whisperer,4,Shea Theodore,VEG,D,12G 38A 50P
Cohere,Frosty Fate Whisperer,5,Matt Boldy,MIN,F,30G 38A 68P
Cohere,Frosty Fate Whisperer,6,Drake Batherson,OTT,F,28G 38A 66P
Cohere,Frosty Fate Whisperer,7,Travis Konecny,PHI,F,30G 34A 64P
Cohere,Frosty Fate Whisperer,8,Leo Carlsson,ANA,F,24G 34A 58P
Cohere,Frosty Fate Whisperer,9,Claude Giroux,OTT,F,18G 36A 54P
Cohere,Frosty Fate Whisperer,10,Dylan Cozens,OTT,F,20G 30A 50P
Gemma,The Lightweight Legend,1,Nick Suzuki,MTL,F,29G 72A 101P
Gemma,The Lightweight Legend,2,Cole Caufield,MTL,F,51G 37A 88P
Gemma,The Lightweight Legend,3,Artemi Panarin,LAK,F,28G 52A 80P
Gemma,The Lightweight Legend,4,Matvei Michkov,PHI,F,20G 31A 51P
Gemma,The Lightweight Legend,5,Erik Karlsson,PIT,D,10G 42A 52P
Gemma,The Lightweight Legend,6,Cutter Gauthier,ANA,F,28G 30A 58P
Gemma,The Lightweight Legend,7,Ivan Demidov,MTL,F,22G 36A 58P
Gemma,The Lightweight Legend,8,Linus Ullmark,OTT,G,30W .913SV%
Gemma,The Lightweight Legend,9,Mike Matheson,MTL,D,10G 30A 40P
Gemma,The Lightweight Legend,10,Matthew Savoie,EDM,F,14G 22A 36P
